date,region,min,max
2020-09-12,India_Chattisgarh,25,31.7
2020-09-13,India_Chattisgarh,26.6,31
2020-08-29,India_Dadra and Nagar Haveli,23.9,28.1
2020-08-30,India_Dadra and Nagar Haveli,23.5,26.3
2020-08-31,India_Dadra and Nagar Haveli,23.9,29.4
2020-09-01,India_Dadra and Nagar Haveli,23.2,30.8
2020-09-02,India_Dadra and Nagar Haveli,24.1,30.7
2020-09-03,India_Dadra and Nagar Haveli,24.1,31.1
2020-09-04,India_Dadra and Nagar Haveli,23.9,31.9
2020-09-05,India_Dadra and Nagar Haveli,24.4,33
2020-09-06,India_Dadra and Nagar Haveli,24.9,32.7
2020-09-07,India_Dadra and Nagar Haveli,24.4,30.6
2020-09-08,India_Dadra and Nagar Haveli,24.5,30.3
2020-09-09,India_Dadra and Nagar Haveli,24.3,30.1
2020-09-10,India_Dadra and Nagar Haveli,23.9,30.1
2020-09-11,India_Dadra and Nagar Haveli,24.7,30.5
2020-09-12,India_Dadra and Nagar Haveli,24.8,31.3
2020-09-13,India_Dadra and Nagar Haveli,25.8,31.2
2020-08-29,India_Daman and Diu,24.2,29
2020-08-30,India_Daman and Diu,23.9,25.9
2020-08-31,India_Daman and Diu,24.4,29.4
2020-09-01,India_Daman and Diu,23.9,30.8
2020-09-02,India_Daman and Diu,24.7,30.5
2020-09-03,India_Daman and Diu,24.4,30.9
2020-09-04,India_Daman and Diu,24.2,31.8
2020-09-05,India_Daman and Diu,25,33.5
2020-09-06,India_Daman and Diu,25.4,32.8
2020-09-07,India_Daman and Diu,25.5,30.6
2020-09-08,India_Daman and Diu,25.2,30.4
2020-09-09,India_Daman and Diu,24.8,30.4
2020-09-10,India_Daman and Diu,24.5,31.1
2020-09-11,India_Daman and Diu,25,31.1
2020-09-12,India_Daman and Diu,25,32.5
2020-09-13,India_Daman and Diu,25.8,31.9
2020-08-29,India_Delhi,28.6,35.5
2020-08-30,India_Delhi,27.8,34.9
2020-08-31,India_Delhi,27.8,35.1
2020-09-01,India_Delhi,29.3,35.1
2020-09-02,India_Delhi,28.9,36.5
2020-09-03,India_Delhi,28.6,37.6
2020-09-04,India_Delhi,29,37.1
2020-09-05,India_Delhi,31.1,38
2020-09-06,India_Delhi,31.9,38.9
2020-09-07,India_Delhi,29.8,38.9
2020-09-08,India_Delhi,29.1,36.9
2020-09-09,India_Delhi,29.2,36.8
2020-09-10,India_Delhi,27.9,35.1
2020-09-11,India_Delhi,28.7,35.9
2020-09-12,India_Delhi,30.4,36.8
2020-09-13,India_Delhi,33,36.9
2020-08-29,India_Goa,23.6,29.9
2020-08-30,India_Goa,23.6,30.1
2020-08-31,India_Goa,23.2,30.9
2020-09-01,India_Goa,23.3,31.9
2020-09-02,India_Goa,23.5,32.5
2020-09-03,India_Goa,24.2,30.6
2020-09-04,India_Goa,24.1,35.7
2020-09-05,India_Goa,24.5,34.1
2020-09-06,India_Goa,24.4,33
2020-09-07,India_Goa,24.3,30.9
2020-09-08,India_Goa,24.8,29.6
2020-09-09,India_Goa,23.9,30.4
2020-09-10,India_Goa,24,30.4
2020-09-11,India_Goa,23.5,30.9
2020-09-12,India_Goa,24.1,30.8
2020-09-13,India_Goa,24.6,30.2
2020-08-29,India_Gujarat,26.7,33
2020-08-30,India_Gujarat,24.6,27
2020-08-31,India_Gujarat,25.1,27.9
2020-09-01,India_Gujarat,24.8,34.3
2020-09-02,India_Gujarat,25.7,32.7
2020-09-03,India_Gujarat,26.8,33.4
2020-09-04,India_Gujarat,27,33.5
2020-09-05,India_Gujarat,27.1,35.1
2020-09-06,India_Gujarat,27.1,35.5
2020-09-07,India_Gujarat,26.1,35.1
2020-09-08,India_Gujarat,26.4,32.5
2020-09-09,India_Gujarat,26.2,32.4
2020-09-10,India_Gujarat,26.8,31.7
2020-09-11,India_Gujarat,27.5,33.1
2020-09-12,India_Gujarat,28.5,34.3
2020-09-13,India_Gujarat,31.4,35.8
2020-08-29,India_Haryana,15.9,22.6
2020-08-30,India_Haryana,16.6,23.7
2020-08-31,India_Haryana,17.1,24.4
2020-09-01,India_Haryana,17,24.2
2020-09-02,India_Haryana,17.9,22.2
2020-09-03,India_Haryana,17.6,23.4
2020-09-04,India_Haryana,17.3,24.4
2020-09-05,India_Haryana,17.3,24.8
2020-09-06,India_Haryana,16.9,25.1
2020-09-07,India_Haryana,16.9,25.4
2020-09-08,India_Haryana,16.2,25.4
2020-09-09,India_Haryana,15.3,22.6
2020-09-10,India_Haryana,14.6,22.6
2020-09-11,India_Haryana,15,23.6
2020-09-12,India_Haryana,14.8,23.9
2020-09-13,India_Haryana,15.2,24
2020-08-29,India_Himachal Pradesh,27.9,35.7
2020-08-30,India_Himachal Pradesh,27.6,36.6
2020-08-31,India_Himachal Pradesh,27.2,35
2020-09-01,India_Himachal Pradesh,27.2,33.9
2020-09-02,India_Himachal Pradesh,27.5,35.6
2020-09-03,India_Himachal Pradesh,28.2,34.5
2020-09-04,India_Himachal Pradesh,27.9,37.3
