,date,India_Andaman and Nicobar Islands,India_Andhra Pradesh,India_Arunachal Pradesh,India_Assam,India_Bihar,India_Chandigarh,India_Chattisgarh,India_Dadra and Nagar Haveli,India_Daman and Diu,India_Delhi,India_Goa,India_Gujarat,India_Haryana,India_Himachal Pradesh,India_Jammu and Kashmir,India_Jharkhand,India_Karnataka,India_Kerala,India_Ladakh,India_Lakshadweep,India_Madhya Pradesh,India_Maharashtra,India_Manipur,India_Meghalaya,India_Mizoram,India_Nagaland,India_Odisha,India_Puducherry,India_Punjab,India_Rajasthan,India_Sikkim,India_Tamil Nadu,India_Telangana,India_Tripura,India_Uttar Pradesh,India_Uttarakhand,India_West Bengal
0,2020-03-14,0,1,0,0,0,0,0,0,0,7,0,0,14,0,2,0,6,19,0,0,0,14,0,0,0,0,0,0,1,3,0,1,1,0,12,0,0
1,2020-03-15,0,1,0,0,0,0,0,0,0,7,0,0,14,0,2,0,6,24,0,0,0,32,0,0,0,0,0,0,1,4,0,1,3,0,13,0,0
2,2020-03-16,0,1,0,0,0,0,0,0,0,7,0,0,14,0,3,0,7,27,0,0,0,38,0,0,0,0,1,1,1,4,0,1,4,0,13,1,0
3,2020-03-17,0,1,0,0,0,0,0,0,0,8,0,0,15,0,3,0,9,27,0,0,0,41,0,0,0,0,1,1,1,4,0,1,5,0,15,1,1
4,2020-03-18,0,1,0,0,0,0,0,0,0,10,0,0,16,0,4,0,14,27,8,0,0,44,0,0,0,0,2,1,2,7,0,2,13,0,17,2,1
5,2020-03-19,0,3,0,0,0,1,1,0,0,14,0,2,17,0,4,0,15,28,8,0,0,48,0,0,0,0,2,1,2,9,0,3,16,0,20,3,1
6,2020-03-20,0,3,0,0,0,5,1,0,0,20,0,7,19,2,4,0,15,40,10,0,4,52,0,0,0,0,2,1,3,17,0,3,19,0,24,3,2
7,2020-03-21,0,5,0,0,0,5,1,0,0,27,0,14,21,2,4,0,20,52,13,0,4,64,0,0,0,0,2,1,13,24,0,6,21,0,28,3,4
8,2020-03-22,0,6,0,0,2,6,1,0,0,27,0,18,21,2,4,0,26,67,13,0,6,74,0,0,0,0,2,1,21,28,0,9,27,0,30,3,7
9,2020-03-23,0,7,0,0,3,7,1,0,0,30,0,30,28,3,4,0,33,95,13,0,6,97,0,0,0,0,2,1,23,32,0,12,33,0,32,4,7
10,2020-03-24,0,8,0,0,3,7,1,0,0,30,0,34,30,3,6,0,41,109,13,0,7,107,1,0,0,0,2,1,29,32,0,18,37,0,35,4,9
11,2020-03-25,0,10,0,0,4,7,3,0,0,35,3,38,31,3,11,0,51,118,13,0,15,122,1,0,1,0,2,1,31,38,0,26,41,0,38,5,9
